ID azienda,Area of Activity,EMTAK Code,NACE Code,Source
930,"Other professional, scientific and technical activities n.e.c.",74901 (EMTAK 2008),74.9,Electronic submission
931,"Production and presentation of live concerts, musical creation and other similar activities",90012 (EMTAK 2008),90.01,Annual report
932,Retail sale via mail order houses or via Internet,47911 (EMTAK 2008),47.91,Electronic submission
933,Constructional engineering-technical designing and consulting,71121 (EMTAK 2008),71.12,Annual report
934,Non-specialised wholesale trade,46901 (EMTAK 2008),46.9,Electronic submission
935,"Retail sale via stalls and markets of food, beverages and tobacco products",47811 (EMTAK 2008),47.81,Annual report
936,"Activities of saunas, sunbeds and massage salons and other services related to physical well-being",96041 (EMTAK 2008),96.04,Annual report
938,Hairdressing and other beauty treatment,96021 (EMTAK 2008),96.02,Electronic submission
939,"Activities of saunas, sunbeds and massage salons and other services related to physical well-being",96041 (EMTAK 2008),96.04,Electronic submission
940,Retail sale via mail order houses or via Internet,47911 (EMTAK 2008),47.91,Electronic submission
941,"Wholesale of furniture, carpets and lighting equipment",46471 (EMTAK 2008),46.47,Electronic submission
942,Rental and operating of own or leased real estate,68201 (EMTAK 2008),68.2,Annual report
943,"Production and presentation of live concerts, musical creation and other similar activities",90012 (EMTAK 2008),90.01,Annual report
944,Other software publishing,58291 (EMTAK 2008),58.29,Annual report
947,Computer programming activities,62011 (EMTAK 2008),62.01,Annual report
948,Computer programming activities,62011 (EMTAK 2008),62.01,Electronic submission
949,"Other financial service activities, except insurance and pension funding n.e.c.",64991 (EMTAK 2008),64.99,Electronic submission
950,Computer programming activities,62011 (EMTAK 2008),62.01,Electronic submission
951,Renting of rail vehicles,77391 (EMTAK 2008),77.39,Annual report
952,Other retail sale in non-specialised stores,47191 (EMTAK 2008),47.19,Annual report
953,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,Electronic submission
954,Renting of rail vehicles,77391 (EMTAK 2008),77.39,Annual report
955,Activities of holding companies,64201 (EMTAK 2008),64.2,Electronic submission
956,Other research and experimental development on natural sciences and engineering,72191 (EMTAK 2008),72.19,Electronic submission
957,Computer programming activities,62011 (EMTAK 2008),62.01,Annual report
958,Buying and selling of own real estate,68101 (EMTAK 2008),68.1,Annual report
959,Gambling and betting activities,92001 (EMTAK 2008),92.0,Electronic submission
960,"Water collection, treatment and supply",36001 (EMTAK 2008),36.0,Annual report
961,Other business support service activities n.e.c.,82991 (EMTAK 2008),82.99,Electronic submission
962,Retail sale of games and toys in specialised stores,47651 (EMTAK 2008),47.65,Annual report
963,Artistic creation,90031 (EMTAK 2008),90.03,Electronic submission
964,"Trusts, funds and similar financial entities",64301 (EMTAK 2008),64.3,Electronic submission
965,Fund management activities,66301 (EMTAK 2008),66.3,Electronic submission
966,Retail sale via mail order houses or via Internet,47911 (EMTAK 2008),47.91,Annual report
968,Computer programming activities,62011 (EMTAK 2008),62.01,Electronic submission
970,Computer programming activities,62011 (EMTAK 2008),62.01,Annual report
971,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,Annual report
973,Rental and operating of own or leased real estate,68201 (EMTAK 2008),68.2,Annual report
974,Other information technology and computer service activities,62091 (EMTAK 2008),62.09,Annual report
