ID,URL,Name,Code,Legal form,Status,Registration Date,Capital,Address,Deletion Date,Tempo richiesta,Tempo estrazione Name,Tempo estrazione Code,Tempo estrazione Legal Form,Tempo estrazione Status,Tempo estrazione Reg. Date,Tempo estrazione Capital,Tempo estrazione Address,Tempo estrazione Del. Date,Tempo estrazione dati Rapp.,Tempo estrazione Partners,Tempo estrazione Activity
1227,https://ariregister.rik.ee/eng/company/10266638/Osaühing-SPARTA-PLUS?search_id=6b4eef4&pos=1227,OsaühingSPARTAPLUS(10266638),10266638,Private limited company,Deleted,08.09.1997,,,16.05.2003,496796026,414838,1305345,1043734,,1009998,,,985090,401,367,264
1228,https://ariregister.rik.ee/eng/company/80277313/SPARTA-Poksiklubi?search_id=6b4eef4&pos=1228,SPARTAPoksiklubi(80277313),80277313,Non-profit association,Deleted,12.11.2008,,,18.09.2012,842029066,417028,1427453,1084657,,1249775,,,488165,417,267,326
1229,https://ariregister.rik.ee/eng/company/80272741/SPARTA-Spordiselts?search_id=6b4eef4&pos=1229,SPARTASpordiselts(80272741),80272741,Non-profit association,Enteredintotheregister,26.08.2008,,                        Harju maakond Tallinn Kesklinna linnaosa Pärnu mnt 139c 11317                            ,,494737849,557076,461075,1094842,288527,1019838,1046119,313259,484028,436,250,169
1230,https://ariregister.rik.ee/eng/company/80295564/Mittetulundusühing-Sparta-Sport?search_id=6b4eef4&pos=1230,MittetulundusühingSpartaSport(80295564),80295564,Non-profit association,Deleted,18.09.2009,,,29.01.2016,731572310,388666,682380,475181,,355092,,,312619,426,279,271
1231,https://ariregister.rik.ee/eng/company/16583469/Sparta-Tec-OÜ?search_id=6b4eef4&pos=1231,SpartaTecOÜ(16583469),16583469,Private limited company,Enteredintotheregister,29.09.2022,Capitalis2 500 €,                        Harju maakond Tallinn Kesklinna linnaosa Tornimäe tn 7-26 10145                            ,,876501445,464616,1334310,1091161,275107,329927,335323,316651,464969,398,260,256
1232,https://ariregister.rik.ee/eng/company/10483175/Osaühing-SPARTA-TURVATEENISTUS?search_id=6b4eef4&pos=1232,OsaühingSPARTATURVATEENISTUS(10483175),10483175,Private limited company,Deleted,04.09.1998,,,07.10.2011,717128630,458824,372326,305090,,429720,,,1082946,423,262,286
1233,https://ariregister.rik.ee/eng/company/10036594/Osaühing-SPARTAVEOD?search_id=6b4eef4&pos=1233,OsaühingSPARTAVEOD(10036594),10036594,Private limited company,Enteredintotheregister,29.05.1996,Capitalis25 600 €,                        Harju maakond Tallinn Nõmme linnaosa Suur-Männiku tn 8 11216                            ,,834319569,404102,876962,1437022,365757,1002912,950853,946085,1304404,395,256,283
1234,https://ariregister.rik.ee/eng/company/11468605/Spartec-Ehitus-OÜ?search_id=6b4eef4&pos=1234,SpartecEhitusOÜ(11468605),11468605,Private limited company,Deleted,11.02.2008,,,29.11.2022,904510526,347684,1430977,475928,,1233881,,,1016431,309,271,243
1235,https://ariregister.rik.ee/eng/company/80616442/MTÜ-Spartel-Racing?search_id=6b4eef4&pos=1235,MTÜSpartelRacing(80616442),80616442,Non-profit association,Enteredintotheregister,30.09.2022,,                        Harju maakond Tallinn Nõmme linnaosa Männiku tee 95-8 11213                            ,,692120164,420489,433216,1123902,268635,331103,344485,243814,507133,702,258,277
1236,https://ariregister.rik.ee/eng/company/11121994/Sparten-International-OÜ?search_id=6b4eef4&pos=1236,SpartenInternationalOÜ(11121994),11121994,Private limited company,Deleted,07.04.2005,,,20.09.2011,715147545,338698,343365,443711,,1005745,,,448225,330,288,296
1237,https://ariregister.rik.ee/eng/company/11429806/Sparten-Trade-OÜ?search_id=6b4eef4&pos=1237,SpartenTradeOÜ(11429806),11429806,Private limited company,Deleted,04.10.2007,,,18.01.2012,832383037,386101,1278188,1069223,,977525,,,1089554,423,318,253
1238,https://ariregister.rik.ee/eng/company/12356417/Spartex-Group-OÜ?search_id=6b4eef4&pos=1238,SpartexGroupOÜ(12356417),12356417,Private limited company,Enteredintotheregister,04.10.2012,Capitalis2 500 €,                        Harju maakond Tallinn Lasnamäe linnaosa Muhu tn 2-16 13912                            ,,770847086,533676,1380783,1085457,304785,1030484,1047279,461051,608367,442,445,400
1239,https://ariregister.rik.ee/eng/company/11352357/Spartos-OÜ?search_id=6b4eef4&pos=1239,SpartosOÜ(11352357),11352357,Private limited company,Deleted,12.02.2007,,,16.09.2011,714286279,350223,1305200,380969,,1024548,,,1051168,406,281,289
1240,https://ariregister.rik.ee/eng/company/14955406/Spartronix-OÜ?search_id=6b4eef4&pos=1240,SpartronixOÜ(14955406),14955406,Private limited company,Enteredintotheregister,20.04.2020,Capitalis2 500 €,,,883808775,423196,1299290,339856,439872,409790,428742,398560,1420191,265,265,317
1241,https://ariregister.rik.ee/eng/company/10570922/OSAÜHING-SPARTS-MORE?search_id=6b4eef4&pos=1241,OSAÜHINGSPARTSMORE(10570922),10570922,Private limited company,Enteredintotheregister,26.07.1999,Capitalis2 556 €,                        Harju maakond Tallinn Lasnamäe linnaosa Liikuri tn 46-37 13618                            ,,772813976,486903,476507,1124578,472499,1030691,1075007,1023071,1049641,519,492,263
1242,https://ariregister.rik.ee/eng/company/10781872/osaühing-Sparus?search_id=6b4eef4&pos=1242,osaühingSparus(10781872),10781872,Private limited company,Enteredintotheregister,22.06.2001,Capitalis40 000 EEK,                        Harju maakond Tallinn Põhja-Tallinna linnaosa Tööstuse tn 3-11 10416                            ,,754430861,475310,1500422,526913,333253,359541,1183522,1338475,1062350,556,269,278
1243,https://ariregister.rik.ee/eng/company/12455792/Sparv-OÜ?search_id=6b4eef4&pos=1243,SparvOÜ(12455792),12455792,Private limited company,Enteredintotheregister,16.04.2013,Capitalis2 500 €,                        Lääne maakond Vormsi vald Hullo küla Irjase 91301                            ,,894823188,497992,1362894,1117960,327533,1042441,511201,1117237,1053219,598,353,242
1244,https://ariregister.rik.ee/eng/company/10921899/OÜ-SPA-Sanitaartehnika?search_id=6b4eef4&pos=1244,OÜSPASanitaartehnika(10921899),10921899,Private limited company,Enteredintotheregister,23.01.2003,Capitalis5 000 000 EEK,                        Harju maakond Tallinn Kesklinna linnaosa Rävala pst 19-112 10143                            ,,792556940,458310,910360,1056585,356856,1031003,1093116,1064365,1047781,562,365,406
1245,https://ariregister.rik.ee/eng/company/11358839/Spa-Seven-OÜ?search_id=6b4eef4&pos=1245,SpaSevenOÜ(11358839),11358839,Private limited company,Enteredintotheregister,05.03.2007,Capitalis4 200 €,                        Harju maakond Tallinn Kristiine linnaosa Sõpruse pst 145 13425                            ,,735558192,386307,1272208,1079120,264431,731576,465309,1024862,457606,416,226,266
1246,https://ariregister.rik.ee/eng/company/12981842/Osaühing-Spash?search_id=6b4eef4&pos=1246,OsaühingSpash(12981842),12981842,Private limited company,Enteredintotheregister,21.01.2016,Capitalis2 500 €,                        Ida-Viru maakond Lüganuse vald Kiviõli linn Keskpuiestee 55-16 43122                            ,,834053381,382128,1246969,503830,336717,1081604,1112015,1064823,1073856,414,304,240
1247,https://ariregister.rik.ee/eng/company/12611097/Spasinvest-Eesti-OÜ?search_id=6b4eef4&pos=1247,SpasinvestEestiOÜ(12611097),12611097,Private limited company,Enteredintotheregister,10.02.2014,Capitalis2 505 €,                        Harju maakond Tallinn Nõmme linnaosa Suur-Männiku tn 8 11216                            ,,727544116,528498,1420248,1300753,283281,1056459,1061597,1060541,521021,530,368,360
1248,https://ariregister.rik.ee/eng/company/16267863/SPA-Software-OÜ?search_id=6b4eef4&pos=1248,SPASoftwareOÜ(16267863),16267863,Private limited company,Enteredintotheregister,12.07.2021,Capitalis2 500 €,,,744272382,407800,1268936,1027595,363630,317924,1060385,1028370,1005374,303,193,213
1249,https://ariregister.rik.ee/eng/company/12820180/Spassky-OÜ?search_id=6b4eef4&pos=1249,SpasskyOÜ(12820180),12820180,Private limited company,Enteredintotheregister,23.03.2015,Capitalis2 500 €,                        Ida-Viru maakond Narva linn V. Gerassimovi tn 6-68 20105                            ,,869019832,470592,755812,1117656,275006,354843,333690,319799,399008,307,208,217
1250,https://ariregister.rik.ee/eng/company/12150667/SPA-System-OÜ?search_id=6b4eef4&pos=1250,SPASystemOÜ(12150667),12150667,Private limited company,Enteredintotheregister,23.08.2011,Capitalis2 508 €,                        Harju maakond Tallinn Kesklinna linnaosa Väike-Ameerika tn 19-201 10129                            ,,758309754,402478,1358474,1033419,306195,990202,1055202,1008067,479309,456,280,274
1251,https://ariregister.rik.ee/eng/company/16341499/Spazier-OÜ?search_id=6b4eef4&pos=1251,SpazierOÜ(16341499),16341499,Private limited company,Enteredintotheregister,14.10.2021,Capitalis2 500 €,                        Harju maakond Tallinn Kristiine linnaosa A. H. Tammsaare tee 47 11316                            ,,748598005,396675,1496282,1081264,296563,988855,1062694,1019520,474544,328,262,341
1252,https://ariregister.rik.ee/eng/company/14803228/Spazio-OÜ?search_id=6b4eef4&pos=1252,SpazioOÜ(14803228),14803228,Private limited company,Enteredintotheregister,13.09.2019,Capitalis2 500 €,                        Harju maakond Tallinn Põhja-Tallinna linnaosa Peetri tn 7 10415                            ,,866948364,484219,1357833,1087282,357304,1091595,1069503,1335081,1061179,492,361,433
1253,https://ariregister.rik.ee/eng/company/16606762/OÜ-SPAZZOLA?search_id=6b4eef4&pos=1253,OÜSPAZZOLA(16606762),16606762,Private limited company,Enteredintotheregister,03.11.2022,Capitalis2 500 €,                        Viljandi maakond Viljandi linn Riia mnt 40-2 71009                            ,,692377909,422979,463179,1132405,338717,1002497,314405,1042593,1028682,445,349,321
1254,https://ariregister.rik.ee/eng/company/11331266/Osaühing-Spatekstiil?search_id=6b4eef4&pos=1254,OsaühingSpatekstiil(11331266),11331266,Private limited company,Deleted,15.12.2006,,,14.04.2008,667979453,446281,369079,1341525,,1027694,,,1020900,447,274,326
