Company ID,Category,Hash
245,Internet,9213653917245580410
245,Bitcoin,2642950483153609966
246,Railways,463459621687010117
246,Transportation,3140530495907979414
246,Infrastructure,2757938290564691464
248,Manufacturing,918788116521242338
249,Dowjones,-7335146667561650934
249,Insurance,7000230057071041224
250,Electronics,-2937793794179883072
251,Clothing,-4644728342255861508
251,Retail,8659073855545147165
252,Engineering,7526853480566394029
254,Buildingmaterials,7986863683299917669
255,Telecommunicationsequipment,-7218120107949221687
256,Semiconductors,7893943476131326539
256,Electronics,-2937793794179883072
256,Tech,2373442895034963753
257,Usedcarretailer,478601098661270227
257,Carretail,8678176018572341209
258,ITservices,5294247540503510568
258,Professionalservices,2898755620386977973
259,ITservices,5294247540503510568
259,Professionalservices,2898755620386977973
262,Steelproducers,8081884644680932068
262,Steelindustry,4200822821996594004
264,Retail,8659073855545147165
265,Insurance,7000230057071041224
266,Food,-1791250089609384727
267,Engineering,7526853480566394029
268,Chemicals,1532779266960090644
270,Energy,-2490813042158503427
270,Electricity,3312256779847957138
270,OilGas,-4192961412728851669
270,Utilitycompanies,3956169596559111944
271,Transportation,3140530495907979414
272,Energy,-2490813042158503427
272,OilGas,-4192961412728851669
273,Energy,-2490813042158503427
273,OilGas,-4192961412728851669
273,Electricity,3312256779847957138
273,Utilitycompanies,3956169596559111944
274,Steelproducers,8081884644680932068
274,Steelindustry,4200822821996594004
275,Beverages,1448174480227667635
276,Hotels,-2209076433672162417
276,Gambling,-3256085164464164845
276,Entertainment,-5311217246468775200
276,Travel,2883696693193604344
278,Retail,8659073855545147165
279,Realestate,199837547090313934
279,Financialservices,996514602531674170
280,Packaging,1057308400848339902
280,Manufacturing,918788116521242338
281,Electricity,3312256779847957138
281,Energy,-2490813042158503427
281,OilGas,-4192961412728851669
283,Retail,8659073855545147165
284,Software,766138134349121984
284,Tech,2373442895034963753
286,Education,-1919223710078369369
288,MediaPress,7487475509848793516
293,Professionalservices,2898755620386977973
294,Financialservices,996514602531674170
294,Tech,2373442895034963753
296,Software,766138134349121984
296,Tech,2373442895034963753
297,Sportsgoods,6391679374394326830
299,Mining,5530308889125531621
300,Semiconductors,7893943476131326539
300,Tech,2373442895034963753
300,Manufacturing,918788116521242338
301,Transportation,3140530495907979414
302,Steelproducers,8081884644680932068
302,Steelindustry,4200822821996594004
303,Packaging,1057308400848339902
304,Pharmaceuticals,8926960006196816921
304,Dowjones,-7335146667561650934
304,Biotech,-5477649158227911950
305,MedicalCareFacilities,9105344788745331509
308,Retail,8659073855545147165
308,SupermarketChains,-5036390465895693944
310,FlavorsFragrances,8734823338155558507
310,CosmeticsandBeauty,-1391700480064620338
311,Financialservices,996514602531674170
313,Tech,2373442895034963753
313,TechHardware,1748841266191066881
313,Electronics,-2937793794179883072
314,Financialservices,996514602531674170
315,Carrental,-2655407290087228715
316,Food,-1791250089609384727
317,MediaPress,7487475509848793516
317,Entertainment,-5311217246468775200
318,Financialservices,996514602531674170
321,Medicaldevices,-2739338454252634078
321,Tech,2373442895034963753
323,Food,-1791250089609384727
323,Restaurantchains,8667423472038992413
324,Tech,2373442895034963753
324,Semiconductors,7893943476131326539
324,Electronics,-2937793794179883072
324,TechHardware,1748841266191066881
324,Autonomousdriving,5432775636336383657
325,Airlines,-6774808088778716647
325,Travel,2883696693193604344
325,Transportation,3140530495907979414
327,Usedcarretailer,478601098661270227
327,Carretail,8678176018572341209
328,Sportsgoods,6391679374394326830
328,Retail,8659073855545147165
329,Financialservices,996514602531674170
329,Software,766138134349121984
329,Tech,2373442895034963753
333,Healthcare,4999567491202240723
